Horse_ID,Heart_Rate,Respiration_Rate,Temperature,Movement_Activity,Reaction_Score,Therapy_Readiness,Health_Status,Readiness_Score,Alert,Care_Recommendation
TH00001,42,19,37.2,6,3,High,Healthy,0.59,No Alert,No Change
TH00002,41,14,37.0,3,3,High,Healthy,0.34,No Alert,No Change
TH00003,52,20,36.6,1,1,Medium,Critical,0.78,Emergency,Veterinary Checkup
TH00004,49,16,37.2,5,1,High,Healthy,0.39,No Alert,No Change
TH00005,41,15,37.7,3,3,High,Healthy,0.47,No Alert,No Change
TH00006,56,20,37.1,8,2,High,Healthy,0.65,No Alert,No Change
TH00007,34,14,37.4,1,1,Medium,Critical,0.43,Emergency,Veterinary Checkup
TH00008,51,19,37.7,2,4,High,Healthy,0.5,No Alert,No Change
TH00009,50,18,37.8,3,1,High,Healthy,0.85,No Alert,No Change
TH00010,41,13,37.0,3,3,High,Healthy,0.34,No Alert,No Change
TH00011,48,15,38.0,8,3,High,Healthy,0.27,No Alert,No Change
TH00012,32,11,38.1,5,1,Medium,Critical,0.46,Emergency,Veterinary Checkup
TH00013,54,20,36.9,8,1,Medium,Healthy,0.54,No Alert,No Change
TH00014,43,14,37.1,6,4,High,Healthy,0.63,No Alert,No Change
TH00015,39,15,38.1,2,4,High,Critical,0.5,Emergency,Veterinary Checkup
TH00016,55,21,37.4,4,2,High,Healthy,0.83,No Alert,No Change
TH00017,37,11,36.5,9,2,Medium,Critical,0.23,Emergency,Veterinary Checkup
TH00018,30,8,36.8,4,4,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH00019,30,10,37.4,5,2,Medium,Critical,0.51,Emergency,Veterinary Checkup
TH00020,51,18,36.9,5,2,Medium,Healthy,0.72,No Alert,No Change
TH00021,32,10,37.3,8,1,Medium,Critical,0.97,Emergency,Veterinary Checkup
TH00022,62,23,37.5,6,4,High,Healthy,0.61,No Alert,No Change
TH00023,30,11,38.2,7,1,Medium,Critical,0.99,Emergency,Veterinary Checkup
TH00024,61,20,37.4,6,1,High,Healthy,0.44,No Alert,No Change
TH00025,47,13,38.0,5,2,High,Healthy,0.22,No Alert,No Change
TH00026,44,12,38.2,5,1,High,Healthy,0.33,No Alert,No Change
TH00027,39,14,38.2,3,3,High,Critical,0.52,Emergency,Veterinary Checkup
TH00028,48,12,37.6,7,2,High,Healthy,0.45,No Alert,No Change
TH00029,44,17,36.5,5,3,Medium,Critical,0.28,Emergency,Veterinary Checkup
TH00030,56,18,37.7,7,2,High,Healthy,0.55,No Alert,No Change
TH00031,46,22,38.0,2,1,High,Healthy,0.47,No Alert,No Change
TH00032,46,20,37.5,9,2,High,Healthy,0.3,No Alert,No Change
TH00033,41,13,38.4,8,3,High,Healthy,0.44,No Alert,No Change
TH00034,44,14,37.9,5,2,High,Healthy,0.91,No Alert,No Change
TH00035,48,18,37.8,2,3,High,Healthy,0.44,No Alert,No Change
TH00036,30,13,38.0,6,4,Medium,Critical,0.77,Emergency,Veterinary Checkup
TH00037,31,8,37.7,8,1,Medium,Critical,0.69,Emergency,Veterinary Checkup
TH00038,52,14,36.5,7,3,Medium,Critical,0.54,Emergency,Veterinary Checkup
TH00039,46,14,37.3,8,4,High,Healthy,0.39,No Alert,No Change
TH00040,43,15,38.1,4,1,High,Healthy,0.5,No Alert,No Change
TH00041,45,16,37.1,3,4,High,Healthy,0.67,No Alert,No Change
TH00042,48,18,37.4,7,3,High,Healthy,0.48,No Alert,No Change
TH00043,39,11,37.0,2,1,High,Critical,0.37,Emergency,Veterinary Checkup
TH00044,37,8,38.4,5,4,High,Critical,0.29,Emergency,Veterinary Checkup
TH00045,46,17,38.3,7,3,High,Healthy,0.9,No Alert,No Change
TH00046,35,10,37.1,1,4,High,Critical,0.55,Emergency,Veterinary Checkup
TH00047,49,12,37.6,4,1,High,Healthy,0.7,No Alert,No Change
TH00048,30,10,37.2,2,1,Medium,Critical,0.59,Emergency,Veterinary Checkup
TH00049,55,20,37.8,6,1,High,Healthy,0.9,No Alert,No Change
TH00050,49,16,37.8,1,3,High,Healthy,0.64,No Alert,No Change
TH00051,47,15,37.9,7,4,High,Healthy,0.58,No Alert,No Change
TH00052,54,18,37.7,3,4,High,Healthy,0.94,No Alert,No Change
TH00053,61,20,39.0,1,3,High,Healthy,0.78,No Alert,No Change
TH00054,55,16,37.0,8,1,High,Healthy,0.29,No Alert,No Change
TH00055,30,9,36.6,7,2,Medium,Critical,0.34,Emergency,Veterinary Checkup
TH00056,32,12,37.3,2,1,Medium,Critical,0.83,Emergency,Veterinary Checkup
TH00057,38,13,36.7,7,2,Medium,Critical,0.87,Emergency,Veterinary Checkup
TH00058,45,15,36.8,3,1,Medium,Healthy,0.64,No Alert,No Change
TH00059,50,15,37.0,9,3,High,Healthy,0.64,No Alert,No Change
TH00060,37,12,37.0,8,2,High,Critical,0.71,Emergency,Veterinary Checkup
TH00061,46,11,37.0,5,3,High,Healthy,0.55,No Alert,No Change
TH00062,37,13,37.8,7,2,High,Critical,0.74,Emergency,Veterinary Checkup
TH00063,38,16,37.2,3,4,High,Critical,0.29,Emergency,Veterinary Checkup
TH00064,30,8,37.4,1,2,Medium,Critical,0.97,Emergency,Veterinary Checkup
TH00065,35,10,37.9,1,2,High,Critical,0.8,Emergency,Veterinary Checkup
TH00066,31,11,37.1,2,2,Medium,Critical,0.7,Emergency,Veterinary Checkup
TH00067,35,14,37.4,8,4,High,Critical,0.45,Emergency,Veterinary Checkup
TH00068,55,17,37.7,1,3,High,Healthy,0.33,No Alert,No Change
TH00069,35,10,36.5,5,4,Medium,Critical,0.53,Emergency,Veterinary Checkup
TH00070,71,20,36.5,9,2,Medium,Critical,0.73,Emergency,Veterinary Checkup
TH00071,49,17,37.7,9,1,High,Healthy,0.71,No Alert,No Change
TH00072,46,19,37.7,2,4,High,Healthy,0.51,No Alert,No Change
TH00073,36,13,38.5,7,1,High,Critical,0.69,Emergency,Veterinary Checkup
TH00074,52,17,37.6,1,4,High,Healthy,0.85,No Alert,No Change
TH00075,39,14,37.9,3,4,High,Critical,0.22,Emergency,Veterinary Checkup
TH00076,46,15,37.4,6,2,High,Healthy,0.56,No Alert,No Change
TH00077,70,22,37.6,9,3,Low,Healthy,0.81,No Alert,No Change
TH00078,44,16,38.3,2,3,High,Healthy,0.64,No Alert,No Change
TH00079,56,19,36.5,7,2,Medium,Critical,0.72,Emergency,Veterinary Checkup
TH00080,37,12,37.7,4,4,High,Critical,0.61,Emergency,Veterinary Checkup
TH00081,44,13,38.6,2,3,High,Healthy,0.99,No Alert,No Change
TH00082,62,23,37.6,3,3,High,Healthy,0.24,No Alert,No Change
TH00083,38,14,38.3,6,3,High,Critical,0.59,Emergency,Veterinary Checkup
TH00084,63,20,37.2,9,2,High,Healthy,0.27,No Alert,No Change
TH00085,52,19,37.5,8,1,High,Healthy,0.33,No Alert,No Change
TH00086,39,12,37.5,9,1,High,Critical,0.51,Emergency,Veterinary Checkup
TH00087,51,15,36.5,4,1,Medium,Critical,0.32,Emergency,Veterinary Checkup
TH00088,54,16,36.9,4,1,Medium,Healthy,0.97,No Alert,No Change
TH00089,51,13,37.0,9,1,High,Healthy,0.96,No Alert,No Change
TH00090,30,11,37.9,8,3,Medium,Critical,0.47,Emergency,Veterinary Checkup
TH00091,37,9,37.9,2,3,High,Critical,0.71,Emergency,Veterinary Checkup
TH00092,42,12,37.7,8,4,High,Healthy,0.63,No Alert,No Change
TH00093,44,11,37.9,1,3,High,Healthy,0.85,No Alert,No Change
TH00094,51,17,37.4,9,2,High,Healthy,0.7,No Alert,No Change
TH00095,46,15,38.1,9,4,High,Healthy,0.2,No Alert,No Change
TH00096,31,10,37.5,8,3,Medium,Critical,0.81,Emergency,Veterinary Checkup
TH00097,48,14,37.5,5,4,High,Healthy,0.8,No Alert,No Change
TH00098,51,15,37.4,5,4,High,Healthy,0.61,No Alert,No Change
TH00099,50,18,37.8,3,1,High,Healthy,0.92,No Alert,No Change
TH00100,55,17,37.3,5,4,High,Healthy,0.93,No Alert,No Change
TH00101,53,18,38.0,4,3,High,Healthy,0.62,No Alert,No Change
